id,name,card_type,color,cost,life,effect,type,counter,power,attribute,block,collection_name,collection_id,trigger,trigger_effect
OP01-001,Roronoa Zoro,Leader,Red,NULL,5,[DON!! x1] [Your Turn] All of your Characters gain +1000 power.,Supernovas/Straw Hat Crew,NULL,5000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-002,Trafalgar Law,Leader,Red/Green,NULL,4,"[Activate: Main] [Once Per Turn] ➁ (You may rest the specified number of DON!! cards in your cost area.): If you have 5 Characters, return 1 of your Characters to the owner's hand. Then, play up to 1 Character with a cost of 5 or less from your hand that is a different color than the returned Character.",Supernovas/Heart Pirates,NULL,5000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-003,Monkey.D.Luffy,Leader,Red/Green,NULL,4,[Activate: Main] [Once Per Turn] ➃ (You may rest the specified number of DON!! cards in your cost area.): Set up to 1 of your {Supernovas} or {Straw Hat Crew} type Character cards with a cost of 5 or less as active. It gains +1000 power during this turn.,Supernovas/Straw Hat Crew,NULL,5000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-004,Usopp,Character,Red,2,NULL,[DON!! x1] [Your Turn] [Once Per Turn] Draw 1 card when your opponent activates an Event.,Straw Hat Crew,NULL,3000,Ranged,Block 1,Romance Dawn,OP01,False,NULL
OP01-005,Uta,Character,Red,4,NULL,[On Play] Add up to 1 red Character card other than [Uta] with a cost of 3 or less from your trash to your hand.,FILM,NULL,4000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-006,Otama,Character,Red,1,NULL,[On Play] Give up to 1 of your opponent's Characters −2000 power during this turn.,Land of Wano,NULL,0,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-007,Caribou,Character,Red,3,NULL,[On K.O.] K.O. up to 1 of your opponent's Characters with 4000 power or less.,Supernovas/Caribou Pirates,NULL,4000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-008,Cavendish,Character,Red,4,NULL,[On Play] You may add 1 card from your Life area to your hand: This Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.),Supernovas/Beautiful Pirates,NULL,5000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-009,Carrot,Character,Red,2,NULL,,Minks,NULL,3000,Strike,Block 1,Romance Dawn,OP01,True,Play this card.
OP01-010,Komachiyo,Character,Red,1,NULL,,Animal/Land of Wano,NULL,3000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-011,Gordon,Character,Red,2,NULL,[On Play] You may place 1 card from your hand at the bottom of your deck: Draw 1 card.,FILM,NULL,3000,Wisdom,Block 1,Romance Dawn,OP01,False,NULL
OP01-012,Sai,Character,Red,2,NULL,,Happosui Army,NULL,4000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-013,Sanji,Character,Red,2,NULL,"[Activate: Main] [Once Per Turn] You may add 1 card from your Life area to your hand: This Character gains +2000 power during this turn. Then, give this Character up to 2 rested DON!! cards.",Straw Hat Crew,NULL,3000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-014,Jinbe,Character,Red,4,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [DON!! x1] [On Block] Play up to 1 red Character card with a cost of 2 or less from your hand.",Fish-Man/Straw Hat Crew,NULL,5000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-015,Tony Tony.Chopper,Character,Red,3,NULL,[DON!! x1] [When Attacking] You may trash 1 card from your hand: Add up to 1 {Straw Hat Crew} type Character card other than [Tony Tony.Chopper] with a cost of 4 or less from your trash to your hand.,Animal/Straw Hat Crew,NULL,4000,Wisdom,Block 1,Romance Dawn,OP01,False,NULL
OP01-016,Nami,Character,Red,1,NULL,"[On Play] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type card other than [Nami] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Straw Hat Crew,NULL,2000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-017,Nico Robin,Character,Red,3,NULL,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.,Straw Hat Crew,NULL,4000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-018,Hajrudin,Character,Red,4,NULL,,Giant/New Giant Pirates,NULL,6000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-019,Bartolomeo,Character,Red,2,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [DON!! x2] [Opponent's Turn] This Character gains +3000 power.",Supernovas/Barto Club,NULL,2000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-020,Hyogoro,Character,Red,2,NULL,[Activate: Main] You may rest this Character: Up to 1 of your Leader or Character cards gains +2000 power during this turn.,Land of Wano,NULL,3000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-021,Franky,Character,Red,3,NULL,[DON!! x1] This Character can also attack your opponent's active Characters.,Straw Hat Crew,NULL,4000,Ranged,Block 1,Romance Dawn,OP01,False,NULL
OP01-022,Brook,Character,Red,4,NULL,[DON!! x1] [When Attacking] Give up to 2 of your opponent's Characters −2000 power during this turn.,Straw Hat Crew,NULL,5000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-023,Marco,Character,Red,3,NULL,,Former Whitebeard Pirates,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-024,Monkey.D.Luffy,Character,Red,2,NULL,[DON!! x2] This Character cannot be K.O.'d in battle by ＜Strike＞ attribute Characters. || [Activate: Main] [Once Per Turn] Give this Character up to 2 rested DON!! cards.,Supernovas/Straw Hat Crew,NULL,3000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-025,Roronoa Zoro,Character,Red,3,NULL,[Rush] (This card can attack on the turn in which it is played.),Supernovas/Straw Hat Crew,NULL,5000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-026,Gum-Gum Fire-Fist Pistol Red Hawk,Event,Red,2,NULL,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, K.O. up to 1 of your opponent's Characters with 4000 power or less.",Supernovas/Straw Hat Crew,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,True,Give up to 1 of your opponent's Leader or Character cards −10000 power during this turn.
OP01-027,Round Table,Event,Red,4,NULL,[Main] Give up to 1 of your opponent's Characters −10000 power during this turn.,Supernovas/Beautiful Pirates,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,False,NULL
OP01-028,Green Star Rafflesia,Event,Red,1,NULL,[Counter] Give up to 1 of your opponent's Leader or Character cards −2000 power during this turn.,Straw Hat Crew,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,True,Activate this card's [Counter] effect.
OP01-029,Radical Beam!!,Event,Red,1,NULL,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, if you have 2 or less Life cards, that card gains an additional +2000 power.",Straw Hat Crew,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,True,Up to 1 of your Leader or Character cards gains +1000 power during this turn.
OP01-030,In Two Years!! At the Sabaody Archipelago!!,Event,Red,1,NULL,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 {Straw Hat Crew} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Straw Hat Crew,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,True,Activate this card's [Main] effect.
OP01-031,Kouzuki Oden,Leader,Green,NULL,5,[Activate: Main] [Once Per Turn] You can trash 1 {Land of Wano} type card from your hand: Set up to 2 of your DON!! cards as active.,Land of Wano/Kouzuki Clan,NULL,5000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-032,Ashura Doji,Character,Green,3,NULL,"[DON!! x1] If your opponent has 2 or more rested Characters, this Character gains +2000 power.",Land of Wano/The Akazaya Nine,NULL,4000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-033,Izo,Character,Green,3,NULL,[On Play] Rest up to 1 of your opponent's Characters with a cost of 4 or less.,Land of Wano/Former Whitebeard Pirates,NULL,3000,Ranged,Block 1,Romance Dawn,OP01,False,NULL
OP01-034,Inuarashi,Character,Green,3,NULL,[DON!! x2] [When Attacking] Set up to 1 of your DON!! cards as active.,Minks/Land of Wano/The Akazaya Nine,NULL,4000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-035,Okiku,Character,Green,3,NULL,[DON!! x1] [When Attacking] [Once Per Turn] Rest up to 1 of your opponent's Characters with a cost of 5 or less.,Land of Wano/The Akazaya Nine,NULL,5000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-036,Otsuru,Character,Green,1,NULL,,Land of Wano,NULL,3000,Wisdom,Block 1,Romance Dawn,OP01,False,NULL
OP01-037,Kawamatsu,Character,Green,2,NULL,,Fish-Man/Land of Wano/The Akazaya Nine,NULL,3000,Slash,Block 1,Romance Dawn,OP01,True,Play this card.
OP01-038,Kanjuro,Character,Green,2,NULL,[DON!! x1] [When Attacking] K.O. up to 1 of your opponent's rested Characters with a cost of 2 or less. || [On K.O.] Your opponent chooses 1 card from your hand; trash that card.,Land of Wano/The Akazaya Nine,NULL,3000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-039,Killer,Character,Green,2,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [DON!! x1] [On Block] If you have 3 or more Characters, draw 1 card.",Supernovas/Kid Pirates,NULL,2000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-040,Kin'emon,Character,Green,6,NULL,"[On Play] If your Leader is [Kouzuki Oden], play up to 1 {The Akazaya Nine} type Character card with a cost of 3 or less from your hand. || [DON!! x1] [When Attacking] [Once Per Turn] Set up to 1 of your {The Akazaya Nine} type Character cards with a cost of 3 or less as active.",Land of Wano/The Akazaya Nine,NULL,6000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-041,Kouzuki Momonosuke,Character,Green,1,NULL,"[Activate: Main] ➀ (You may rest the specified number of DON!! cards in your cost area) You may rest this Character: Look at 5 cards from the top of your deck; reveal up to 1 {Land of Wano} type card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Land of Wano/Kouzuki Clan,NULL,0,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-042,Komurasaki,Character,Green,1,NULL,"[On Play] ③ (You may rest the specified number of DON!! cards in your cost area.): If your Leader is [Kouzuki Oden], set up to 1 of your {Land of Wano} type Character cards with a cost of 3 or less as active.",Land of Wano/Kouzuki Clan,NULL,0,Wisdom,Block 1,Romance Dawn,OP01,False,NULL
OP01-043,Shinobu,Character,Green,3,NULL,,Land of Wano,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-044,Shachi,Character,Green,3,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On Play] If you don't have [Penguin], play up to 1 [Penguin] from your hand.",Heart Pirates,NULL,4000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-045,Jean Bart,Character,Green,4,NULL,,Heart Pirates,NULL,6000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-046,Denjiro,Character,Green,5,NULL,"[DON!! x1] [When Attacking] If your Leader is [Kouzuki Oden], set up to 2 of your DON!! cards as active.",Land of Wano/The Akazaya Nine,NULL,7000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-047,Trafalgar Law,Character,Green,5,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On Play] You may return 1 Character to your hand: Play up to 1 Character card with a cost of 3 or less from your hand.",Supernovas/Heart Pirates,NULL,6000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-048,Nekomamushi,Character,Green,2,NULL,[On Play] Rest up to 1 of your opponent's Characters with a cost of 3 or less.,Minks/Land of Wano/The Akazaya Nine,NULL,3000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-049,Bepo,Character,Green,4,NULL,[DON!! x1] [When Attacking] Play up to 1 {Heart Pirates} type Character card other than [Bepo] with a cost of 4 or less from your hand.,Minks/Heart Pirates,NULL,4000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-050,Penguin,Character,Green,3,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On Play] If you don't have [Shachi], play up to 1 [Shachi] from your hand.",Heart Pirates,NULL,2000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-051,"Eustass""Captain""Kid",Character,Green,8,NULL,"[DON!! x1] [Opponent's Turn] If this Character is rested, your opponent cannot attack any card other than the Character [Eustass""Captain""Kid]. || [Activate: Main] [Once Per Turn] You may rest this Character: Play up to 1 Character card with a cost of 3 or less from your hand.",Supernovas/Kid Pirates,NULL,8000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-052,Raizo,Character,Green,3,NULL,"[When Attacking] [Once Per Turn] If you have 2 or more rested Characters, draw 1 card.",Land of Wano/The Akazaya Nine,NULL,4000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-053,Wire,Character,Green,2,NULL,,Kid Pirates,NULL,4000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-054,X.Drake,Character,Green,5,NULL,[On Play] K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less.,Supernovas/Navy/Drake Pirates,NULL,6000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-055,You Can Be My Samurai!!,Event,Green,1,NULL,[Main] You may rest 2 of your Characters: Draw 2 cards.,Land of Wano/Kouzuki Clan,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,False,NULL
OP01-056,Demon Face,Event,Green,6,NULL,[Main] K.O. up to 2 of your opponent's rested Characters with a cost of 5 or less.,Supernovas/Hawkins Pirates,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,False,NULL
OP01-057,Paradise Waterfall,Event,Green,1,NULL,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, set up to 1 of your Characters as active.",Land of Wano/Kouzuki Clan,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,True,K.O. up to 1 of your opponent's rested Characters with a cost of 4 or less.
OP01-058,Punk Gibson,Event,Green,2,NULL,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, rest up to 1 of your opponent's Characters with a cost of 4 or less.",Supernovas/Kid Pirates,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,True,Rest up to 1 of your opponent's Characters.
OP01-059,BE-BENG!!,Event,Green,3,NULL,[Main] You may trash 1 {Land of Wano} type card from your hand: Set up to 1 of your {Land of Wano} type Character cards with a cost of 3 or less as active.,Land of Wano,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,False,NULL
OP01-060,Donquixote Doflamingo,Leader,Blue,NULL,5,"[DON!! x2] [When Attacking] ➀ (You may rest the specified number of DON!! cards in your cost area.): Reveal 1 card from the top of your deck. If that card is a {The Seven Warlords of the Sea} type Character card with a cost of 4 or less, you may play that card rested.",The Seven Warlords of the Sea/Donquixote Pirates,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-061,Kaido,Leader,Blue/Purple,NULL,4,"[DON!! x1] [Your Turn] [Once Per Turn] When your opponent's Character is K.O.'d, add up to 1 DON!! card from your DON!! deck and set it as active.",The Four Emperors/Animal Kingdom Pirates,NULL,5000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-062,Crocodile,Leader,Blue/Purple,NULL,4,"[DON!! x1] When you activate an Event, you may draw 1 card if you have 4 or less cards in your hand and haven't drawn a card using this Leader's effect during this turn.",The Seven Warlords of the Sea/Baroque Works,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
